Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,job_simp,seniority,job_state,age,bachelor,masters,PhD,python_yn,sql_yn,java_yn,spark_yn,power bi_yn,sas_yn,aws_yn,excel_yn,tableau_yn,study_field
Data Scientist,"$114,145
/yr (Employer est.)
The minimum salary range is
$104K
The maximum salary range is
$125K","Responsibilities:
Collecting large sets of structured and unstructured data from various sources.
Developing algorithms to analyze data and apply machine learning techniques.
Cleaning and validating the data to ensure accuracy, completeness, and uniformity.
Devising and utilizing algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy.
Analyzing data to identify patterns and trends.
Interpreting data to discover solutions and opportunities.
Communicating findings to stakeholders using visualization and other means.
Qualifications:
Advanced degree in Computer Science, Statistics, Mathematics, or a related field.
Proficiency with data mining, mathematics, and statistical analysis.
Advanced pattern recognition and predictive modeling experience.
Experience with SQL and programming languages such as Python or Java.
Familiarity with machine learning frameworks (like Keras or TensorFlow) and libraries (like scikit-learn).
Excellent analytical and problem-solving abilities.
Great communication skills.
Job Type: Full-time
Salary: $103,565.50 - $124,724.04 per year
Benefits:
401(k)
Dental insurance
Health insurance
Experience level:
2 years
3 years
Schedule:
8 hour shift
Work Location: Remote",3.6,Commit,Remote,51 to 200 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,0,104.0,125.0,114.5,Data Scientist,Other,,-1,0,0,0,1,1,1,0,0,0,0,1,0,Computer Science
Data Scientist I,"$127,500
/yr (Employer est.)
The minimum salary range is
$115K
The maximum salary range is
$140K","Are you a dreamer, innovator, thinker and a do-er who believes in contributing to something that makes difference?

Pursue your passion. Join PMI.

How You’ll Make a Difference
You will use your Machine Learning Operations understanding and experience to assist in the design and implementation of machine learning models for predictive and prescriptive analytics in the areas of Customer Experience, Finance, Marketing Optimization, Product, and Community.

What You’ll Bring to the Role
At least two (2) years of experience with progressively more complex data science, applied statistics, machine learning, or mathematical modeling projects, with a minimum of 2-3 years general business experience in business intelligence, analytics, reporting, data management, and/or similar roles in related areas.
A technical skill base focused on Python, R, or similar programming platforms, as well as SQL, with specific demonstrable projects using a combination of these tools.
Strong technical knowledge of multiple analytic algorithms available within these key programming languages and, in addition, statistics use supporting model output analysis
Demonstrated ability to work with both technical and non-technical individuals in a team environment
Experience of working in an agile, dynamic, and customer-centric environment
Strong communication and collaboration skills
Proficiency in the business language for PMI (English)
What you can expect from us

We value and nurture an environment of inclusivity and diversity, and a culture of communication and collaboration. Your health, safety and well-being come first, and we believe that you should have time for your work, but you should also have time for you..

Join us and you’ll get:
an excellent total package, with compensation and benefits based upon your geographic location.
skill development opportunities, to help you grow now and into the future.
access to a global network, to enrich your professional experience.
flexible options to help balance work time and your time
award and bonus opportunities.
The salary offer will be based on several factors, including the candidate’s demonstrated skills, qualifications and relevant experience.

Let’s help make the world work better for everyone. Apply today!

Project Management Institute, Inc. is committed to providing equal employment opportunities without regard to sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected veteran status, or any other characteristic protected by applicable law. As a government contractor, Company Name is subject to Executive Order 11246, the Rehabilitation Act of 1973 (Section 503), and the Vietnam Era Veterans Readjustment Act of 1974 (VEVRAA), all as amended, which require government contractors to ensure nondiscrimination in employment and to take affirmative action to employ and advance in employment qualified persons without regard to sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected veteran status, or any other characteristic protected by applicable law.",3.7,Project Management Institute,United States,501 to 1000 Employees,1969,Nonprofit Organization,Membership Organizations,Management & Consulting,Unknown / Non-Applicable,0,115.0,140.0,127.5,Data Scientist,Other,,55,0,0,0,1,1,0,0,0,0,0,1,0,Statistics
Data Scientist I,"$86,000
/yr (Employer est.)
The minimum salary range is
$80K
The maximum salary range is
$92K","Position Title: Data Scientist I
Salary Range: $80,000 - $92,000
Department: Information Technology
Reports to: Manager, Analytics and Research
Location: Remote
Schedule: M-F; 9-5 EST
Formerly the Mental Health Association of New York City (MHA-NYC), Vibrant Emotional Health’s groundbreaking solutions have delivered high quality services and support, when, where and how people need it for over 50 years. Through our state-of-the-art technology-enabled services, community wellness programs, and advocacy and education work, we are building a society in which emotional wellness can be a reality for everyone.
Position Summary:
The Data Scientist I implements models that automate core analyses that drive Vibrant’s work and extend these models to provide additional context and insight. Vibrant emphasizes model explainability, ethical use of data sources, and quality control in its use of AI/ML methods.
Duties/Responsibilities:
Develop and deploy AI/ML models for addressing core business objectives.
Ensure that deployed models are explainable and their opportunities and limitations are well described.
Promote data literacy and analytic thinking in interaction with business users around AI/ML.
Support the development of education and training around general data literacy and understanding the models Vibrant uses to improve its work.
Required Skills/Abilities:
Expert knowledge of core data science concepts and tools.
Expert knowledge of Python and other key data science languages.
Substantial experience handling model deployment, support and quality control.
Experience with AWS data science services including SageMaker.
Advanced statistical knowledge.
Required Qualifications:
Data science specific experience in AI/ML work.
Bachelors’ or Masters’ Degree in analytics focused discipline or equivalent experience and knowledge.
Excellent comprehensive benefits, including medical, dental, vision, supplemental income insurance, pre-tax transit/parking, pre-tax FSA for medical and dependent care, and 401K available. 4 weeks’ vacation, plum benefits, etc.
Studies have shown that women and people of color are less likely to apply for jobs unless they believe they are able to perform every task in the job description. We are most interested in finding the best candidate for the job, and that candidate may be one who come from a less traditional background. Vibrant will consider any equivalent combination of knowledge, skills, education and experience to meet minimum qualifications. If you are interested in applying, we encourage you to think broadly about your background and skill set for the role.
Vibrant Emotional Health is an equal opportunity employer. Applicants are considered for positions without regard to veteran status, uniformed service member status, race, creed, color, religion, gender, gender identity, sex, sexual orientation, citizenship status, national origin, marital status, age, physical or mental disability, genetic information, caregiver status or any other category protected by applicable federal, state or local laws.
""Please be aware that fictitious job openings, consulting engagements, solicitations, or employment offers may be circulated on the Internet in an attempt to obtain privileged information, or to induce you to pay a fee for services related to recruitment or training. Vibrant does NOT charge any application, processing, or training fee at any stage of the recruitment or hiring process. All genuine job openings will be posted on our careers page and all communications from the Vibrant recruiting team and/or hiring managers will be from an @vibrant.org email address""",2.5,Vibrant Emotional Health,United States,201 to 500 Employees,-1,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),0,80.0,92.0,86.0,Data Scientist,Other,,-1,1,0,0,1,0,0,0,0,0,1,1,0,Not specified
Junior Data Scientist,"$62,500
/yr (Employer est.)
The minimum salary range is
$60K
The maximum salary range is
$65K","Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.
Key Responsibilities:
Builds production-quality, custom predictive models to enhance and expand our core product
Investigates new data sources, perform statistical analyses, and document findings
Works with engineering and data vendors to improve the accuracy of our data sources
Performs analysis on a wide variety of large and disparate datasets using complex techniques
Creates presentations and data visualizations to effectively communicate results to internal staff and external customers
Applies and combines current and emerging techniques and tools in novel ways
Develops and combines complex data analysis techniques and methods for a specific application
Prepares and aggregates large datasets ML builds and scoring
Maintains machine learning models and evaluate ongoing performance
Provides support to DonorSearch Aristotle clients with phases of data discovery, aggregation, delivery, onboarding, and adoption
Requirements:
A Bachelor's degree in Computer Science or related discipline with a minimum of 3 years of related experience; Master's degree in similar disciplines with a minimum of 1 year of related experience; or PhD in similar disciplines.
Broad knowledge in one or more related fields of the following areas: artificial intelligence, quantitative modeling, machine learning, statistics, math, data science and data visualization.
Experience in wide application of principles, theories, basic programming and Artificial Intelligence Techniques and concepts
Hands on experience in building, testing, operationalizing and maintaining machine learning models
Extensive knowledge of applicable industry and/or academic practices and standards in software design & development and Computer Science
Advanced degree in a quantitative discipline
Experience including applied techniques in modern data science and machine learning in production environments
Expert knowledge of Python & SQL
Collaborative, team-focused attitude with a strong desire to advance the product and learn new things
The ability to communicate technical ideas to a non-technical audience
Self-starter with experience turning ideas into actionable designs
Excellent written and verbal communication
Eligible to work within the United States

Note: This is a remote position that requires up to 25% travel.
The Salary range for this position is $60,000+, with bonus potential. DonorSearch offers a comprehensive and competitive benefits package, including medical, dental, and vision insurance, 401(k) with company match, voluntary life insurance, paid time off, tuition reimbursement, teleworking opportunities, personal and professional development opportunities, and many more exciting perks
www.donorsearch.net
k3JDzljjUh",4.0,DonorSearch,United States,1 to 50 Employees,-1,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable,0,60.0,65.0,62.5,Data Scientist,Junior,,-1,1,1,1,1,1,0,0,0,0,0,1,0,Computer Science
Data Scientist,"$103,875
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$118K","National Grid Renewables, which includes the renewables development company formerly known as Geronimo Energy, is a leading North American renewable energy company based in Minneapolis, Minnesota, with satellite offices located in the regions where it develops, constructs, and operates renewable energy projects. As a farmer-friendly and community focused company, National Grid Renewables develops projects for corporations and utilities that seek to repower America’s electricity grid by reigniting local economies and reinvesting in a sustainable future. National Grid Renewables is part of the competitive, unregulated Ventures division of National Grid and has a portfolio of solar, wind, and energy storage projects located throughout the United States in various stages of development, construction and operation.

National Grid Renewables develops high value, competitive renewable energy projects. Our focus on communities and farmers means it’s not just about projects, but about the people we work with, both outside and inside our organization. National Grid Renewables Team Members embody our foundational culture of being entrepreneurial, creative, and nimble and take pride in supporting National Grid’s vision to be at the heart of a clean, fair, and affordable energy future for all.

About the Position
National Grid Renewables is hiring a Data Scientist to improve our suite of machine learning products. The ideal Data Scientist will be an individual who enjoys understanding and improving large coding problems. They will be skilled in machine learning, math, statistics, and computer science, and have a passion for clean energy. This opportunity may be remote, with a preference of hybrid work out of the Bloomington, MN corporate office location.

Role Responsibilities:
Forecasting model development: Improve quality of forecasts for the suite of energy market products at operating power plants.
Uptime Optimization: Increase the uptime of the forecast engines.
Market choice algorithm: Contribute to and improve the market choice algorithm for solar, wind, and battery power plants.
Integration with real-time power plant data: Collaborate with asset management, engineering, and field operation teams to ensure real-time physical data is being represented in market choice algorithms.
Code reviews and pull-requests: Review and document code to maintain best practices for organization.
Performance evaluation: Conduct thorough evaluation and testing of machine learning models and optimization algorithms using historical data and simulation scenarios.
Research and innovation: Stay updated with the latest advancements in machine learning and energy price forecasting.

What you bring to this role:
Candidate for an undergraduate or graduate degree in degree in Computer Science, Data Science, Electrical Engineering, Social Science or quantitative fields.
Programming Proficiency: Strong programming skills in Julia (preferred), Python, or R. Familiarity with machine learning libraries like Scikit-learn, TensorFlow, or PyTorch.
Machine Learning Knowledge: Solid understanding of various machine learning algorithms, data preprocessing techniques, and model evaluation methods.
Energy Domain: Basic knowledge of energy markets, electricity pricing, and grid operations is a plus but not required.
Problem-Solving Abilities: Analytical mindset with the ability to tackle complex problems and find innovative solutions.
Team Player: Strong collaboration skills, with the ability to work effectively in a team-oriented environment.
Communication Skills: Excellent verbal and written communication skills. Capable of explaining technical concepts to non-technical stakeholders.
Learning Attitude: Eagerness to learn and stay updated with emerging technologies and industry trends.",4.2,National Grid Renewables,"Bloomington, MN",Unknown,-1,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,91.0,118.0,104.5,Data Scientist,Other,MN,-1,0,0,0,1,0,0,0,0,0,0,1,0,Computer Science
"Data Scientist, Analytics","$170,726
/yr (Glassdoor est.)
The minimum salary range is
$145K
The maximum salary range is
$200K","Location: Palo Alto, CA (hybrid)

NEXT's mission is to help entrepreneurs thrive. We're doing that by building the only technology-led, full-stack provider of small business insurance in the industry, taking on the entire value chain and transforming the customer experience.

Simply put, wherever you find small businesses, you'll find NEXT.

Since 2016, we've helped hundreds of thousands of small business customers across the United States get fast, customized and affordable coverage. We're backed by industry leaders in insurance and tech, and we still have room to grow — that's where you come in.

Want to shape the future of insurance through data science? We are looking for a Data Scientist to join the growing data org that has a dedication to diving into data and thinking analytically about business problems and user behaviors. The ideal candidate is excited to define and own company objectives and guide their team towards success through data-driven decisions. If you have the intuition to identify important analytical questions, the technical ability for complex deep-dives, and the communication skills to turn ideas into action - you belong here!

What You'll Do:
Conduct deep-dive analysis to improve insurance product performance, with focus on pricing and underwriting
Identify, size and prioritize opportunities pertaining to growth and profitability
Partner with data engineering to design the right data model, logging, and data-pipelines.
Work with cross-functional partners to determine the strategy of their team, then design the right metrics and targets to communicate their progress
Create clear, compelling, and actionable insights based on data
Develop dashboards to track progress against objectives, understand metric drivers, and help business stakeholders make data-informed decisions
Design experiments to inform product decisions
Provide statistical rigor and guidance on metric development

What We Need:
5+ Professional experience in a quantitative analysis role
3+ Professional experience in a quantitative analysis role
Desire and capability to deeply understand the insurance products we offer and available levers
Applied knowledge of experiment design and causal inference, particularly non-A/B or RCT experiments
Fluent in SQL and comfortable with less structured data format such as JSON
Proficiency in statistical analysis using Python or R.
Ability to define relevant metrics that can guide and influence stakeholders to the appropriate and accurate insights
Experience building clear and easy to understand dashboards
Ability to communicate effectively to cross functional partners of varying technical levels
Experience influencing the product strategy through analyses
BA/BS degree

Unstoppable Qualities:
Experience in insurance or financial services
Experience with pricing and underwriting risk
Applied knowledge of experiment design and causal inference, particularly non-A/B or RCT experiments

The range displayed on this job posting reflects the minimum and maximum target for new hire salaries for the position in the location(s) listed. Within the range, individual pay is determined by additional factors, including, without limitation, job-related skills, experience, and relevant education or training. NEXT employees are eligible to participate in our equity incentive program and will also receive our benefits package, consisting of our partially subsidized medical plan, fully subsidized vision/dental options, life insurance, disability insurance, 401(k), flexible paid time off, parental leave and more.
US annual base salary range for this full-time position:
$106,000—$197,000 USD

Don't meet every single requirement? Studies have shown that some underrepresented people are less likely to apply to jobs unless they meet every single qualification. At NEXT, we are dedicated to building a diverse, inclusive and respectful workplace, so if you're excited about this role but your past experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles.

One of our core values is 'Play as a Team'; this means making sure everyone has an equal chance to participate and make a difference. We win by playing together. Next Insurance is an equal opportunity employer and prioritizes building a diverse and inclusive workplace. We provide equal employment opportunities to all employees and applicants of any type and do not discriminate based on race, color, religion, national origin, gender, age, sexual orientation, physical or mental disability, genetic information or characteristic, gender identity and expression, veteran status, or other non-job-related characteristics or other prohibited grounds specified in applicable federal, state, and local laws. Next's policy is to comply with all applicable laws related to nondiscrimination and equal opportunity and will not tolerate discrimination or harassment based on any of these characteristics. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",3.8,Next Insurance,"Palo Alto, CA",501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,145.0,200.0,172.5,Data Scientist,Other,CA,8,1,0,0,1,1,0,0,0,0,1,0,0,Engineering
"Data Scientist, Product & Pricing","$129,008
/yr (Employer est.)
The minimum salary range is
$83K
The maximum salary range is
$175K","Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
The Pricing and Product team’s mission is to build innovative solutions that bring tangible impact to our CVS Health members, clients, and plan sponsors. We accomplish this while offering a diverse work experience that empowers colleagues for career success, collaboration, innovation, caring, integrity, inclusiveness, and accountability.
The position will focus on our Caremark Pharmacy Benefit Management business unit where you work directly with Actuarial, Underwriting, Finance and Sales leaders to ideate and build analytical solutions and implement to show direct impact.
Position Summary:
Uses strong knowledge of algorithms and predictive models to investigate problems, detect patterns and recommend solutions
Performs analyses of structured and unstructured data to solve multiple complex business problems utilizing advanced AI and statistical techniques, mathematical analyses, and industry knowledge
Collaborates with business partners to understand their problems and goals, develops predictive modeling, statistical analysis, data reports and performance metrics
Develops and participates in written presentations and consultations to various stakeholders on analytics results and solutions

Required Qualifications
1+ years of experience in applied data science, or a combination of 6+ months of experience and education at Master’s level, or completion of PhD.
1+ years coding experience in Python
1+ years of data pipeline creation and data manipulation using Pandas, Dask, SQL or similar

Preferred Qualifications
3+ years of relevant data science experience preferably in pricing in insurance or in healthcare in general.
Experience in building deep learning models, and Object-Oriented Programming skills, preferably in Python
Strong proficiency in working with large data sets from multiple sources, building machine learning models, and applying statistical analyses in business settings
Business acumen, and intellectual curiosity about the healthcare insurance business
Consultative problem-solving skills, effective communication of technical concepts and business implications to non-technical stakeholders
Ability to anticipate potential challenges and proactively address them in modeling and non-modeling settings
Education
Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master's degree preferred
Pay Range
The typical pay range for this role is:
$82,915.00 - $175,100.00
This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits
We anticipate the application window for this opening will close on: 03/20/2024
CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.
You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.
CVS Health is committed to recruiting, hiring, developing, advancing, and retaining individuals with disabilities. As such, we strive to provide equal access to the benefits and privileges of employment, including the provision of a reasonable accommodation to perform essential job functions. CVS Health can provide a request for a reasonable accommodation, including a qualified interpreter, written information in other formats, translation or other services through ColleagueRelations@CVSHealth.com If you have a speech or hearing disability, please call 7-1-1 to utilize Telecommunications Relay Services (TRS). We will make every effort to respond to your request within 48 business hours and do everything we can to work towards a solution.",3.1,CVS Health,"Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,83.0,175.0,129.0,Data Scientist,Other,MA,61,1,1,1,1,1,0,0,0,0,0,0,0,Computer Science
Data Scientist - Generative AI,"$98,574
/yr (Glassdoor est.)
The minimum salary range is
$79K
The maximum salary range is
$124K","LOCATION
Montgomery, Alabama or Part-Time Remote (For hire or contract)
JOB DESCRIPTION
As a Data Scientist specializing in Generative AI, you will play a crucial role in developing and implementing cutting-edge generative models to solve complex problems and drive innovation. You will collaborate with cross-functional teams of data scientists, machine learning engineers, and domain experts to create novel solutions with real-world impact.
JOB DUTIES
Research, design, and implement generative models for various applications, such as image synthesis, text generation, and data augmentation
Collaborate with domain experts to understand business needs and translate them into data-driven solutions using generative AI techniques
Train and fine-tune existing generative models to improve their performance and adapt them to specific tasks
Stay up-to-date with the latest advancements in generative AI and contribute to the company's knowledge base by sharing insights and best practices
Collaborate with engineering teams to deploy and integrate generative AI models into production systems
Analyze and interpret model outputs, troubleshoot issues, and iterate on model designs to achieve desired outcomes
JOB REQUIREMENTS
Bachelor's degree in Computer Science, Data Science, Machine Learning, or a related field
Experience working with generative AI techniques, including but not limited to GANs, VAEs, and other deep generative models
Programming skills in languages such as Python and experience with deep learning frameworks like TensorFlow or PyTorch
Understanding of machine learning fundamentals and statistical methods
Experience with large-scale data processing and cloud platforms (AWS) is a plus
Problem-solving abilities and a creative mindset to develop innovative solutions using generative AI
Excellent communication skills to collaborate with cross-functional teams and present complex findings to both technical and non-technical stakeholders
To apply for this position, submit your resume to jobs@onlinecommercegroup.com.",3.3,Online Commerce Group (OCG),"Montgomery, AL",Unknown,-1,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,0,79.0,124.0,101.5,Data Scientist,Other,AL,-1,1,0,0,1,0,0,0,0,0,1,1,0,Computer Science
Data Scientist,"$115,000
/yr (Employer est.)
The minimum salary range is
$100K
The maximum salary range is
$130K","At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Data Scientist will have a number of responsibilities, including:
Extract and manipulate data from various sources (databases, files, APIs, etc.); requires knowledge of how to deal with the inherent structure of the data.
Use Python (and R) to perform statistical analysis, profiling, reporting, and modeling.
Develop and interpret multivariate statistical models, such as linear or logistic regression, survival analysis, and other parametric or non-parametric models that predict business metrics.
Build machine learning pipelines to aid with decision-making and streamline critical business processes.
Design and implement solutions using generative AI models (GPT-4, Claude, Llama2), frameworks (Langchain, LlamaIndex), and related tools (vector databases).
Apply data science principles to solve complex business problems, including but not limited to problem framing, evaluating the impact of business interventions, identifying performance drivers, conducting diagnostic analyses, and generating insights.
Interpret statistical findings in the context of clients’ businesses, and create presentations that communicate analytical results to non-technical client audiences.
Interact with clients to establish requirements, organize meetings, and deliver presentations.
Research practical data science topics and prepare presentations to share findings and knowledge with team members.
Qualifications:
1-3 years of data science work experience
Experience ingesting, cleaning, and manipulating data
Data mining and statistical programming experience with Python and SQL
Experience working with large datasets, text data, and complex relational data models
Strong understanding of various statistical methods, such as linear and logistic regression, time series, design of experiments, etc.
Exceptional oral and written communication skills
Ability to multitask on different projects and manage deadlines
Flexibility to work both collaboratively and independently
Bachelors or above in Data Science, Statistics, Applied Math, Econometrics, Business, or related field
Previous consulting experience a strong plus
Hands-on generative AI experience strongly preferred
Position Type: Full-time salaried
Reports to: VP of Data Science
Base Compensation: $100,000 - $130,000
Benefits: Medical, Dental, Vision, 401k with Match, Bonus, Unlimited PTO
Location: Remote within the United States of America; Eastern time zone preferred
Job Type: Full-time
Pay: $100,000.00 - $130,000.00 per year",-1.0,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1,0,100.0,130.0,115.0,Data Scientist,Other,,-1,1,0,0,1,1,0,0,0,0,0,0,0,Statistics
Data Scientist,"$98,614
/yr (Glassdoor est.)
The minimum salary range is
$82K
The maximum salary range is
$119K","When you join the growing BILH team, you're not just taking a job, you’re making a difference in people’s lives.
Job Type:
Regular
Scheduled Hours:
40
Work Shift:
Day (United States of America)
As a Data Scientist, you will focus on machine learning, predictive analytics, and related projects, employing machine learning frameworks across development, testing, and production environments to develop and implement innovative technologies. Your primary responsibility will be to research and advance healthcare analytics solutions. This entails designing machine learning algorithms aimed at improving outcomes, reducing computational complexities, increasing model accuracy, and optimizing critical business metrics. Moreover, you will leverage LLM, NLP, and Generative AI to refine and enhance results.

In collaboration with subject matter experts, you will uncover valuable insights and expand on concepts in statistics, optimization, and machine learning to elevate patient and provider experiences. Your role includes building dependable and scalable production machine learning services for integration with other systems. You will work on feature engineering, statistical analysis, novel ML techniques development, classifier performance assessment, and ensuring fitness-for-purpose.

Working cross-functionally, you will engage with a diverse group of stakeholders, including developers, data engineers, and physicians. This position may also involve working on special projects and performing other job duties, as required.
Job Description:
Primary Responsibilities:
1. Collaborates with business stakeholders to document business problems requiring advanced analytics; develop, evaluate and implement machine learning models to improve business operations. (essential)
2. Collaborates with Software Engineering, Data Engineering and clinical team to structure and normalize data systems and other data enrichment sources. (essential)
3. Works on feature engineering, statistical analysis, develop novel ML techniques, understanding classifier performance, and ensuring fit-for-purpose; creates machine learning algorithms to optimize and deliver results, perform hyper-parameter tuning, and evaluated model performance. (essential)
4. Works with cognitive computing platforms to improve predictions about patient outcomes, focuses on configuring, operationalizing, and reporting on vendor developed models. (essential)
5. Visualizes and interprets data and model results (essential)
6. Uses machine learning frameworks in both development, testing and production environments. (essential)
7. Participates on all parts of the machine learning project lifecycle from dataset curation to model deployment. (essential)
8. Performs all other duties as needed or directed to meet the needs of the department and or customer. (essential)
9. Achieves and maintains required certifications (if applicable). (essential)
Required Qualifications:
1. bachelor’s degree in computer science, statistics, mathematics, physical science, engineering, or a comparable related technical field: or equivalent years of experience.
2. 1 - 3 Years: Experience in an engineer role Industry experience in software engineering and data science.
Preferred Qualifications:
1. Knowledge and experience using basic and intermediate project management tools and techniques.

2. Programming skills with fluency in Python and its libraryies such as NumPy, Pandas, Scikit-learn, Matplotlib and Seaborn; experience in working with deep learning framework Pytorch, tensorflow or Keras.

3. Familiar with entire data science process life cycle

4. A proven track record of producing quality deliverables on time, taking ownership and accountability of assignments and demonstrating a strong work ethic.
Working experiece in Healthcare
Dept/Unit Specific Skills:
1. Strong background and experience in ML NLP, especially transformer-based ML and Large Language Models.
2. Working knowledge of one or more of the following NLP fields: Information Retrieval, Question Answering/Conversational AI, Reinforcement Learning.
3. Hands-on with latest Generative AI developments in the past year with exposure to finetuning, prompting strategies and optimization of models for inferencing.
4. Experience with working on large data sets, especially with Spark.
5. Experience with cloud computing platforms such as AWS, Azure or GCP.
FLSA Status:
Exempt
As a health care organization, we have a responsibility to do everything in our power to care for and protect our patients, our colleagues and our communities. Beth Israel Lahey Health requires that all staff be vaccinated against influenza (flu) and COVID-19 as a condition of employment. Learn more about this requirement.
More than 35,000 people working together. Nurses, doctors, technicians, therapists, researchers, teachers and more, making a difference in patients' lives. Your skill and compassion can make us even stronger.
Equal Opportunity Employer/Veterans/Disabled",3.4,Beth Israel Lahey Health - Non Executive,"Charlestown, MA",5001 to 10000 Employees,2012,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),0,82.0,119.0,100.5,Data Scientist,Other,MA,12,1,0,0,1,0,0,1,0,0,1,0,0,Computer Science
